Name,Report Type,Generation Method,Accounting Regime,Active,Description,Field Name,Parent,Accounts,Date Range,Negated
Income Statement Example,Income statement,Manual,IFRS,true,,Revenues,,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Other Income,Revenues,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Building of long term provisions,Revenues,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Cost of goods and services,,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,External Services,Cost of goods and services,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Operating Expenses,,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Personnel Expenses,Operating Expenses,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,General administrative expenses,Operating Expenses,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Depreciation and impairment losses on tangible Assets,Operating Expenses,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Amortization on intangible assets,Operating Expenses,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Rent Expenses,Operating Expenses,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Financial Income,,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Financial Revenues,Financial Income,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Financial Expenses,Financial Income,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Realised Gains on Sale of Cryptocurrencies,Financial Income,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Staking Rewards income,Financial Income,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Net Income options sale,Financial Income,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Extraordinary income,,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Extraordinary Expenses,Extraordinary income,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Tax Expense,,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Direct Taxes,Tax Expense,,Year-to-Date balance,true
Income Statement Example,Income statement,Manual,IFRS,true,,Profit for the year,,,Year-to-Date balance,true
